event_id,event_type,event_tags,event_timestamp_local,event_title,event_status
AwAAAZTz1JWYjPdJ9QAAABhBWlR6MUpjckFBQjB5VGcwUk5FZWZPZGYAAAAkMDE5NGYzZDQtYWQwOC00M2FmLWI0NDItYjgyZTljNTA0YzhhAAAAGQ,event,"check_status:live, check_type:api-dns, ci_execution_rule:blocking, criticality:prod, env:prod, monitor, probe_dc:pl:hq-prod-1-3513f5b522a833600df2309408c22ed3, service:dns, source:alert, team:network",2025-02-11 15:06:23,[Triggered] Test on trms-ui-dev.adb.org via WPAD1 - Network,error
AwAAAZTzuRpwfoCg8AAAABhBWlR6dVI1VEFBQl9BdzZDZWFsR1BVMVIAAAAkMDE5NGYzYmEtM2I4MC00OGMyLWE5M2UtZGQwNjA2Y2Y2MTU4AAAGQQ,event,"check_status:live, check_type:api-dns, ci_execution_rule:blocking, criticality:prod, env:prod, monitor, probe_dc:pl:hq-prod-1-3513f5b522a833600df2309408c22ed3, service:dns, source:alert, team:network",2025-02-11 14:36:22,[Recovered] Test on trms-ui-dev.adb.org via WPAD1 - Network,success
AwAAAZTzuP8YptUTQgAAABhBWlR6dVFIb0FBQkItREF3MlFwektvV2IAAAAkMDE5NGYzYmEtM2I4MC00OGMyLWE5M2UtZGQwNjA2Y2Y2MTU4AAAGQA,event,"check_status:live, check_type:api-dns, ci_execution_rule:blocking, criticality:prod, env:prod, monitor, probe_dc:pl:hq-prod-1-3513f5b522a833600df2309408c22ed3, service:dns, source:alert, team:network",2025-02-11 14:36:15,[Recovered] trms-ui-dev.adb.org DNS resolution via DNS1 - Network,success
AwAAAZTztVGwYCwt1wAAABhBWlR6dFZXZUFBRF81d0ZNcFAyYmZMcTkAAAAkMDE5NGYzYmEtM2I4MC00OGMyLWE5M2UtZGQwNjA2Y2Y2MTU4AAAF7w,event,"availability-zone:hq, criticality:non-prod, criticality:prod, db:oracle, dd_agent_key:adb, dd_agent_pythonv:3.12.6, dd_agent_version:7.60.1, domain_name:adb.org, env:dev, env:prod, host:lvddb02.adb.org, ip_subnet2:172.22, ip_subnet3:172.22.130, ip_subnet:172, mac_address:00_21_f6, mac_vendor:oracle, machine:x86_64, monitor, os_cpu_cores:8, os_cpu_vcores:8, os_disk_rootc:12gb, os_memory:188gb, os_version:redhat_8.10, os_version_release:redhat_8, os_version_windows:none, platform:linux, risk:financial, role:database, service:alms, service:asiadatamobile, service:cognos, service:cpd, service:eserve, service:glbpymnt, service:ids, service:ifirst, service:jboss, service:jbrms, service:jira, service:myadb, service:non_erp, service:nso, service:odg, service:ods, service:sdbs, service:ssc, service:tacp, service:taportal, service:tms, service:trms, source:alert, system:cognos, team:dba, team:risk, usage:dev_db",2025-02-11 14:32:14,[Recovered on {host:lvddb02.adb.org}] TRMS Hosts Data Dog Agent Check - FIN,success
AwAAAZTztTZY6420GgAAABhBWlR6dFRuMEFBQ1RWWGtTM28wWVhtMlMAAAAkMDE5NGYzYmEtM2I4MC00OGMyLWE5M2UtZGQwNjA2Y2Y2MTU4AAAF0A,event,"availability-zone:hq, criticality:non-prod, criticality:prod, dashboard:non-prod, db:oracle, dd_agent_key:adb, dd_agent_pythonv:3.12.6, dd_agent_version:7.60.1, domain_name:adb.org, env:dev, env:prod, host:lvddbfix.adb.org, ip_subnet2:172.22, ip_subnet3:172.22.130, ip_subnet:172, mac_address:00_21_f6, mac_vendor:oracle, machine:x86_64, monitor, os_cpu_cores:4, os_cpu_vcores:4, os_disk_rootc:12gb, os_memory:47gb, os_version:redhat_8.10, os_version_release:redhat_8, os_version_windows:none, platform:linux, risk:financial, role:database, service:alms, service:asiadatamobile, service:cpd, service:eserve, service:glbpymnt, service:ids, service:ifirst, service:jboss, service:jbrms, service:jira, service:myadb, service:non_erp, service:nso, service:odg, service:ods, service:sdbs, service:ssc, service:tacp, service:taportal, service:tms, service:trms, source:alert, system:alms, system:asiadatamobile, system:cpd, system:eserve, system:glbpymnt, system:ids, system:ifirst, system:jboss, system:jbrms, system:jira, system:myadb, system:non_erp, system:nso, system:odg, system:ods, system:sdbs, system:ssc, system:tacp, system:taportal, system:tms, system:trms, team:dba, team:risk",2025-02-11 14:32:07,[Recovered on {host:lvddbfix.adb.org}] TRMS Hosts Data Dog Agent Check - FIN,success
AwAAAZTztSa4Kn2g8AAAABhBWlR6dFN0WUFBQjZyQ0VyUmtJNW5qUVAAAAAkMDE5NGYzYmEtM2I4MC00OGMyLWE5M2UtZGQwNjA2Y2Y2MTU4AAAFyg,event,"availability-zone:hq, criticality:prod, dashboard:prod, dd_agent_key:adb, dd_agent_pythonv:3.12.6, dd_agent_version:7.60.1, domain_name:asiandevbank.org, env:prod, host:lpdb02.asiandevbank.org, ip_subnet2:172.23, ip_subnet3:172.23.15, ip_subnet:172, mac_address:00_21_f6, mac_vendor:oracle, machine:x86_64, monitor, os_cpu_cores:24, os_cpu_vcores:24, os_disk_rootc:12gb, os_memory:61gb, os_version:redhat_7.9, os_version_release:redhat_7, os_version_windows:none, platform:linux, risk:financial, role:attestation, role:database, service:cognos, service:non_erp, service:tacp, service:trms, source:alert, system:cognos, system:non_erp, system:tacp, system:trms, team:dba, team:risk, team:storage, usage:prod_db",2025-02-11 14:32:03,[Recovered on {host:lpdb02.asiandevbank.org}] TRMS Hosts Data Dog Agent Check - FIN,success
AwAAAZTztNyA5M3CvQAAABhBWlR6dE9FTUFBQTJmcnU1V0EwTVV3S20AAAAkMDE5NGYzYmEtM2I4MC00OGMyLWE5M2UtZGQwNjA2Y2Y2MTU4AAAGMg,event,"check_status:live, check_type:api-dns, ci_execution_rule:blocking, criticality:prod, env:prod, monitor, probe_dc:pl:hq-prod-1-3513f5b522a833600df2309408c22ed3, service:dns, source:alert, team:network",2025-02-11 14:31:44,[Triggered] trms-ui-dev.adb.org DNS resolution via DNS1 - Network,error
AwAAAZTztIaQ6pJ2ZQAAABhBWlR6dElyVEFBQ0ZDbG05YS0zMVpJOHgAAAAkMDE5NGYzYmEtM2I4MC00OGMyLWE5M2UtZGQwNjA2Y2Y2MTU4AAAGIw,event,"check_status:live, check_type:api-dns, ci_execution_rule:blocking, criticality:prod, env:prod, monitor, probe_dc:pl:hq-prod-1-3513f5b522a833600df2309408c22ed3, service:dns, source:alert, team:network",2025-02-11 14:31:22,[Triggered] Test on trms-ui-dev.adb.org via WPAD1 - Network,error
AwAAAZTztDSIg-5nSAAAABhBWlR6dERhWUFBQ3VkT3BFbWU3WE1VemcAAAAkMDE5NGYzYjQtNDgxMC00N2UzLTg3Y2QtOWI3ZWQzYjhhNGUwAAAD5Q,event,"availability-zone:hq, criticality:non-prod, criticality:prod, db:oracle, dd_agent_key:adb, dd_agent_pythonv:3.12.6, dd_agent_version:7.60.1, domain_name:adb.org, env:prod, env:test, host:lvtdb01.adb.org, ip_subnet2:172.22, ip_subnet3:172.22.130, ip_subnet:172, mac_address:00_21_f6, mac_vendor:oracle, machine:x86_64, monitor, os_cpu_cores:8, os_cpu_vcores:8, os_disk_rootc:12gb, os_memory:123gb, os_version:redhat_8.10, os_version_release:redhat_8, os_version_windows:none, platform:linux, risk:financial, role:database, service:alms, service:asiadatamobile, service:cognos, service:eserve, service:filenet, service:gfis-app, service:glbpymnt, service:ids, service:jboss, service:jbrms, service:jira, service:non_erp, service:nso, service:odg, service:ods, service:sdbs, service:ssc, service:tacp, service:taportal, service:tms, service:trms, source:alert, system:cognos, team:dba, team:risk, usage:test_db",2025-02-11 14:31:01,[Recovered on {host:lvtdb01.adb.org}] TRMS Hosts Data Dog Agent Check - FIN,success
AwAAAZTzqTQgcTjJLwAAABhBWlR6cVRiakFBQTNSbjdkZDNGSWM4Ni0AAAAkMDE5NGYzYWUtMzU2MC00Mjc0LWIyZmMtYTRlODhlNjNlM2Y1AAADWg,event,"availability-zone:hq, criticality:prod, dashboard:prod, dd_agent_key:adb, dd_agent_pythonv:3.12.6, dd_agent_version:7.60.1, domain_name:asiandevbank.org, env:prod, host:lpdb02.asiandevbank.org, ip_subnet2:172.23, ip_subnet3:172.23.15, ip_subnet:172, mac_address:00_21_f6, mac_vendor:oracle, machine:x86_64, monitor, os_cpu_cores:24, os_cpu_vcores:24, os_disk_rootc:12gb, os_memory:61gb, os_version:redhat_7.9, os_version_release:redhat_7, os_version_windows:none, platform:linux, risk:financial, role:attestation, role:database, service:cognos, service:non_erp, service:tacp, service:trms, source:alert, system:cognos, system:non_erp, system:tacp, system:trms, team:dba, team:risk, team:storage, usage:prod_db",2025-02-11 14:19:00,[Triggered on {host:lpdb02.asiandevbank.org}] TRMS Hosts Data Dog Agent Check - FIN,error
